1,0,-3188,4760,-1588,-13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

2,416,-3618,4704,-1091,-10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

3,832,-4174,4562,-438,-5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

4,1248,-4572,4337,237,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

5,1664,-4786,4185,597,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

6,2080,-4925,3842,1068,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

7,2496,-4829,2900,1936,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

8,2912,-4823,2072,2774,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

9,3328,-4795,1643,3200,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

10,3744,-4742,1105,3645,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

11,4160,-4569,473,4198,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

12,4576,-4369,-216,4590,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

13,4992,-4202,-561,4791,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

14,5408,-3797,-1063,4874,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

15,5824,-2954,-1848,4812,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

16,6240,-2101,-2700,4815,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

17,6656,-1610,-3170,4781,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

18,7072,-1085,-3618,4710,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

19,7488,-483,-4134,4571,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

20,7904,225,-4557,4352,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

21,8320,598,-4758,4198,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

22,8736,1099,-4872,3787,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

23,9152,1881,-4795,2940,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

24,9568,2696,-4798,2091,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

25,9984,3191,-4773,1597,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

26,10400,3623,-4705,1071,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

27,10816,4154,-4563,427,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

28,11232,4565,-4347,-240,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

29,11648,4766,-4196,-593,-5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

30,12064,4905,-3856,-1091,-12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

31,12480,4812,-2926,-1934,-19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

32,12896,4806,-2086,-2778,-24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

33,13312,4775,-1647,-3204,-27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

34,13728,4698,-1109,-3667,-28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

35,14144,4559,-485,-4202,-29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

36,14560,4358,212,-4606,-28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

37,14976,4182,555,-4795,-27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

38,15392,3827,1056,-4894,-22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

39,15808,2934,1847,-4829,-18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

40,16224,2075,2699,-4826,-14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

41,16640,1587,3153,-4792,-14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

42,17056,1081,3601,-4711,-13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

43,17472,478,4117,-4588,-13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

44,17888,-223,4540,-4369,-15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

45,18304,-601,4757,-4208,-18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

46,18720,-1113,4856,-3822,-18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

47,19136,-1891,4785,-2948,-18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

